"","week.counter","week","week.first","month","season","year","dark.before.12","tmax.f","tmin.f","precip.in","snow.in","school","b","w","u","a","i","murder.g","robbery","aggravated.assault","burglary","larceny","arson","common.assault","drug.distribution","deadly.weapon","non.deadly.weapon","property.destruction","police.non.compliance","court.non.compliance","drug.possession","driving.violation","prostitution","trespass","forgery.fraud.extortion","domestic","sex.offense.g","disorderly.conduct","loitering.vagabond","only.temp.detained","unknown","ungrouped","northwestern","northern","northeastern","western","central","eastern","southwestern","southern","southeastern","total"
"1",159,1,2013-01-07,1,1,13,6.98285714285714,50.8485714285714,36.6414285714286,0.0348705714285714,0,0.714285714285714,732,132,16,2,1,8,25,24,17,33,0,78,116,19,0,5,19,108,294,8,17,17,3,7,5,15,3,8,50,4,78,28,84,71,76,96,43,64,61,883
"2",160,2,2013-01-14,1,1,13,6.85571428571429,48.0714285714286,35.7028571428571,0.226658714285714,0,0.714285714285714,730,119,13,4,2,8,19,21,27,42,0,94,99,33,1,3,9,93,275,13,10,14,8,10,3,26,1,11,43,5,69,29,84,93,85,59,46,73,55,868
"3",161,3,2013-01-21,1,1,13,6.72428571428571,33.5814285714286,19.4,0.0102193271428571,0.197787382827143,0.285714285714286,673,126,12,2,1,7,16,20,28,47,0,89,89,11,0,14,13,93,244,15,17,16,5,8,7,13,9,5,44,4,62,25,55,61,68,72,44,109,71,814
"4",162,4,2013-01-28,1,1,13,6.58714285714286,46.5928571428571,30.0971428571429,0.338531381428571,0.230595714285714,0.714285714285714,651,114,25,3,3,12,13,21,19,45,2,90,95,25,1,11,9,95,235,11,18,8,2,13,0,15,2,14,33,7,52,36,71,48,44,104,27,64,63,796
"5",163,5,2013-02-04,2,1,13,6.44714285714286,39.56,28.8628571428571,0.0292462857142857,0.0168728571428571,0.714285714285714,710,129,17,3,1,5,13,31,15,29,3,85,107,11,0,5,10,88,325,12,9,10,1,7,4,22,7,6,47,8,95,31,83,86,69,62,42,81,66,860
"6",164,6,2013-02-11,2,1,13,6.31428571428571,47.8528571428571,33.7742857142857,0.11834622,0.123734285714286,0.714285714285714,707,113,15,0,1,11,6,28,29,41,0,81,100,20,0,5,17,99,247,16,4,10,7,8,3,19,3,12,69,1,64,28,72,98,73,93,31,69,55,836
"7",165,7,2013-02-18,2,1,13,6.18285714285714,41.09,28.49,0.0340269285714286,0,0.571428571428571,776,98,12,1,2,5,21,35,26,50,1,85,82,27,1,8,10,70,315,20,17,12,6,3,8,17,3,6,57,4,68,35,96,108,76,64,57,83,58,889
"8",166,8,2013-02-25,2,1,13,6.05,46.9271428571429,35.2142857142857,0.0988468214285714,0,0.714285714285714,734,135,22,0,1,4,14,26,17,45,0,81,88,16,0,7,11,93,307,18,19,23,7,3,2,26,3,7,71,4,68,42,68,112,67,68,44,84,65,892
"9",167,9,2013-03-04,3,2,13,5.79,48.9971428571429,33.5814285714286,0.0894261428571429,0.170603331458571,0.714285714285714,729,105,14,0,0,4,5,32,35,34,1,84,91,12,0,6,16,98,273,24,2,15,2,7,7,21,3,11,64,1,74,22,60,98,55,75,36,75,68,848
"10",168,10,2013-03-11,3,2,13,4.81,53.7028571428571,37.6314285714286,0.107845678571429,0,0.714285714285714,735,133,21,1,2,9,15,29,26,48,2,87,89,13,0,10,15,93,331,11,9,19,5,3,3,23,6,7,34,5,58,36,66,114,59,97,43,87,82,892
"11",169,11,2013-03-18,3,2,13,4.68285714285714,47.6214285714286,32.6428571428571,0.05633847,0,0.714285714285714,679,120,13,3,1,3,11,32,27,36,0,84,80,16,1,8,11,76,293,19,8,14,4,5,5,24,2,6,49,2,56,23,66,90,65,79,39,84,64,816
"12",170,12,2013-03-25,3,2,13,4.57571428571429,51.1057142857143,37.3485714285714,0.0970189285714286,0.686162857142857,0,675,107,15,3,3,7,16,29,25,35,0,91,92,15,3,4,15,88,254,13,1,12,2,3,3,25,6,8,51,5,54,18,78,70,72,74,42,88,67,803
"13",171,13,2013-04-01,4,2,13,4.46714285714286,56.9428571428571,36.1528571428571,0.0210910714285714,0,0.428571428571429,698,129,15,1,3,9,14,34,26,29,2,87,111,10,1,9,10,92,269,18,11,15,2,6,2,19,4,6,52,8,50,32,93,70,74,91,37,100,67,846
"14",172,14,2013-04-08,4,2,13,4.35,77.3471428571429,54.6542857142857,0.0995498571428571,0,0.714285714285714,659,130,6,1,0,6,12,26,19,41,2,106,75,11,0,5,15,91,248,10,13,15,14,9,2,30,2,6,29,9,47,35,86,78,66,69,32,40,71,796
"15",173,15,2013-04-15,4,2,13,4.23285714285714,69.1957142857143,52.4428571428571,0.145387785714286,0,0.714285714285714,651,107,7,1,3,7,19,26,14,37,2,95,87,12,1,7,14,77,241,11,16,13,6,3,3,27,4,8,33,6,59,21,77,78,66,70,29,58,64,769
"16",174,16,2013-04-22,4,2,13,4.11714285714286,65.7242857142857,45.4614285714286,0,0,0.714285714285714,746,130,5,1,1,7,24,24,23,40,2,96,87,15,0,14,14,100,295,11,17,14,6,5,0,21,0,15,49,4,66,30,84,71,66,91,53,69,59,883
"17",175,17,2013-04-29,4,2,13,4,66.7785714285714,49.3957142857143,0.0928007142857143,0,0.714285714285714,624,144,13,1,1,7,16,27,41,33,1,89,78,7,1,11,15,69,262,18,14,18,2,5,5,15,5,9,32,3,55,25,49,79,78,101,34,60,70,783
"18",176,18,2013-05-06,5,2,13,3.88285714285714,71.8571428571429,55.6828571428571,0.309757535714286,0,0.714285714285714,620,127,9,3,1,4,8,31,10,36,0,99,84,15,0,9,15,79,226,13,11,13,4,13,5,21,2,4,52,6,43,25,52,72,64,84,37,74,69,760
"19",177,19,2013-05-13,5,2,13,3.78142857142857,71.7285714285714,54.4228571428571,0.0158886071428571,0,0.714285714285714,693,123,9,4,1,3,19,40,31,40,0,83,66,22,0,9,14,98,276,14,7,11,4,7,2,22,0,12,44,6,48,28,84,53,69,70,46,69,85,830
"20",178,20,2013-05-20,5,2,13,3.67571428571429,76.2157142857143,60.2857142857143,0.160151535714286,0,0.714285714285714,695,106,16,0,1,8,17,32,21,46,1,90,100,13,1,10,11,76,270,16,15,13,5,4,4,25,0,9,26,5,43,33,66,89,82,92,35,80,60,818
"21",179,21,2013-05-27,5,2,13,3.58428571428571,84.4442857142857,65.8528571428571,0.0350561728571429,0,0.571428571428571,637,135,15,1,2,7,17,37,14,45,2,99,88,9,0,10,14,75,244,12,11,13,4,11,3,17,3,9,34,12,46,38,60,66,63,80,52,78,77,790
"22",180,22,2013-06-03,6,3,13,3.50428571428571,77.63,63.9371428571429,0.492501827142857,0,0.428571428571429,694,126,16,2,2,6,19,38,11,47,1,106,94,10,0,1,17,114,250,11,10,17,3,11,7,16,3,13,27,8,45,36,74,67,78,67,39,65,74,840
"23",181,23,2013-06-10,6,3,13,3.44571428571429,82.7085714285714,66.9842857142857,0.563553428571429,0,0,603,111,9,3,1,5,13,22,11,42,1,93,58,16,1,5,11,85,239,9,18,8,5,5,3,13,0,9,46,9,56,27,54,57,62,55,43,68,46,727
"24",182,24,2013-06-17,6,3,13,3.40571428571429,82.3485714285714,66.5728571428571,0.0258717142857143,0,0,733,122,15,5,0,7,28,46,19,56,1,101,85,17,1,7,11,102,256,9,19,9,3,12,4,26,0,8,43,5,64,43,82,71,65,65,46,74,59,875
"25",183,25,2013-06-24,6,3,13,3.38,88.6614285714286,71.7157142857143,0.124296714285714,0,0,710,105,20,2,0,12,14,32,17,39,3,103,96,17,1,7,19,90,258,12,21,13,5,6,2,14,5,12,35,4,58,28,65,79,58,92,51,55,74,837
