"","precinct","yes_votes","no_votes","perc_yes"
"1","Minneapolis W-1 P-1",241,284,45.9047619047619
"2","Minneapolis W-1 P-2",827,1011,44.9945593035909
"3","Minneapolis W-1 P-3",780,907,46.235921754594
"4","Minneapolis W-1 P-4",729,767,48.7299465240642
"5","Minneapolis W-1 P-5",522,787,39.877769289534
"6","Minneapolis W-1 P-6",798,559,58.8061901252763
"7","Minneapolis W-1 P-7",629,293,68.2212581344902
"8","Minneapolis W-1 P-8",459,355,56.3882063882064
"9","Minneapolis W-1 P-9",797,665,54.5143638850889
"10","Minneapolis W-1 P-10",249,345,41.9191919191919
"11","Minneapolis W-2 P-1",543,381,58.7662337662338
"12","Minneapolis W-2 P-2",612,454,57.4108818011257
"13","Minneapolis W-2 P-3",584,307,65.5443322109989
"14","Minneapolis W-2 P-4",243,70,77.6357827476038
"15","Minneapolis W-2 P-5",624,594,51.2315270935961
"16","Minneapolis W-2 P-6",370,375,49.6644295302013
"17","Minneapolis W-2 P-7",169,118,58.8850174216028
"18","Minneapolis W-2 P-8",1005,1112,47.4728389230043
"19","Minneapolis W-2 P-9",319,213,59.9624060150376
"20","Minneapolis W-2 P-10",435,122,78.096947935368
"21","Minneapolis W-2 P-11",547,482,53.1584062196307
"22","Minneapolis W-3 P-1",265,123,68.298969072165
"23","Minneapolis W-3 P-2",728,438,62.4356775300172
"24","Minneapolis W-3 P-3",837,1314,38.9121338912134
"25","Minneapolis W-3 P-4",388,344,53.0054644808743
"26","Minneapolis W-3 P-5",577,599,49.0646258503401
"27","Minneapolis W-3 P-6",1026,744,57.9661016949153
"28","Minneapolis W-3 P-7",428,908,32.0359281437126
"29","Minneapolis W-3 P-8",338,746,31.1808118081181
"30","Minneapolis W-3 P-9",537,1614,24.9651324965133
"31","Minneapolis W-3 P-10",338,254,57.0945945945946
"32","Minneapolis W-3 P-11",283,603,31.941309255079
"33","Minneapolis W-3 P-12",200,339,37.1057513914657
"34","Minneapolis W-3 P-13",255,82,75.6676557863502
"35","Minneapolis W-4 P-1",196,512,27.683615819209
"36","Minneapolis W-4 P-2",352,686,33.9113680154143
"37","Minneapolis W-4 P-3",200,274,42.1940928270042
"38","Minneapolis W-4 P-4",518,850,37.8654970760234
"39","Minneapolis W-4 P-5",426,599,41.5609756097561
"40","Minneapolis W-4 P-6",277,412,40.2031930333817
"41","Minneapolis W-4 P-7",393,739,34.7173144876325
"42","Minneapolis W-4 P-8",418,561,42.6966292134831
"43","Minneapolis W-5 P-1",338,579,36.8593238822247
"44","Minneapolis W-5 P-2",226,404,35.8730158730159
"45","Minneapolis W-5 P-3",210,332,38.7453874538745
"46","Minneapolis W-5 P-4",237,381,38.3495145631068
"47","Minneapolis W-5 P-5",231,369,38.5
"48","Minneapolis W-5 P-6C",108,165,39.5604395604396
"49","Minneapolis W-5 P-7",208,405,33.931484502447
"50","Minneapolis W-5 P-8",247,339,42.1501706484642
"51","Minneapolis W-5 P-9",350,332,51.3196480938416
"52","Minneapolis W-6 P-1",286,193,59.7077244258873
"53","Minneapolis W-6 P-2",482,501,49.0335707019329
"54","Minneapolis W-6 P-3",301,1080,21.7958001448226
"55","Minneapolis W-6 P-4",262,495,34.6103038309115
"56","Minneapolis W-6 P-5",161,319,33.5416666666667
"57","Minneapolis W-6 P-6",159,246,39.2592592592593
"58","Minneapolis W-6 P-7",115,195,37.0967741935484
"59","Minneapolis W-6 P-8",211,338,38.4335154826958
"60","Minneapolis W-6 P-9",456,300,60.3174603174603
"61","Minneapolis W-7 P-1C",331,502,39.7358943577431
"62","Minneapolis W-7 P-2D",200,991,16.7926112510495
