"","weekofyr","Schizophrenia_tot","Depress_tot","bipolar_tot","othermood_tot","anxiety_tot","OCD_tot","trauma_tot","impulse_tot","personality_tot","eating_tot","somatic_tot","suicidal_tot","misc_tot","neuro_tot","etoh_tot","opioid_tot","weed_tot","sedative_tot","stimulant_tot","halluc_tot","tobacco_tot","othersub_tot","disord_rem_tot","mh_all_tot","substance_tot","mh_minus_sub_tot","indig_mh_all_tot","black_mh_all_tot","asian_mh_all_tot","white_mh_all_tot","latin_mh_all_tot","indig_substance_tot","asian_substance_tot","black_substance_tot","white_substance_tot","latin_substance_tot","indig_mh_minus_sub_tot","asian_mh_minus_sub_tot","black_mh_minus_sub_tot","white_mh_minus_sub_tot","latin_mh_minus_sub_tot","total_pop","na_pop","white_pop","black_pop","asian_pop","hisp_pop","Schizophrenia_incid_c","Depress_incid_c","bipolar_incid_c","othermood_incid_c","anxiety_incid_c","OCD_incid_c","trauma_incid_c","impulse_incid_c","personality_incid_c","eating_incid_c","somatic_incid_c","suicidal_incid_c","misc_incid_c","neuro_incid_c","etoh_incid_c","opioid_incid_c","weed_incid_c","sedative_incid_c","stimulant_incid_c","halluc_incid_c","tobacco_incid_c","othersub_incid_c","disord_rem_incid_c","mh_all_incid_c","substance_incid_c","indig_mh_all_incid_c","asian_mh_all_incid_c","black_mh_all_incid_c","white_mh_all_incid_c","latin_mh_all_incid_c","indig_substance_incid_c","asian_substance_incid_c","black_substance_incid_c","white_substance_incid_c","latin_substance_incid_c","indig_mh_minus_sub_incid_c","asian_mh_minus_sub_incid_c","black_mh_minus_sub_incid_c","white_mh_minus_sub_incid_c","latin_mh_minus_sub_incid_c","year"
"1",1,159,611,113,34,519,9,168,36,67,11,9,162,25,97,498,100,122,18,95,1,0,75,50,1721,909,812,5,55,3,256,20,2,0,36,83,11,3,3,19,173,9,1068398,8497,759820,150299,75340,81680,0.148820945003641,0.571884260359903,0.105765828839066,0.0318233467303383,0.485774028030753,0.00842382707567779,0.157244772079319,0.0336953083027112,0.0627107126744902,0.0102957886480506,0.00842382707567779,0.1516288873622,0.0233995196546605,0.0907901362600829,0.466118431520838,0.0935980786186421,0.114189655914743,0.0168476541513556,0.08891817468771,0.000935980786186421,0,0.0701985589639816,0.0467990393093211,1.61082293302683,0.850806534643457,0.58844297987525,0.0398194850013273,0.365937231784643,0.336921902555868,0.244857982370225,0.2353771919501,0,0.239522551713584,0.109236398094285,0.134671890303624,0.35306578792515,0.0398194850013273,0.126414680071058,0.227685504461583,0.110186092066601,2016
"2",2,179,588,130,30,508,19,165,30,65,12,14,142,22,128,462,97,93,20,80,4,3,82,36,1650,841,809,6,54,5,228,12,8,1,42,70,8,-2,4,12,158,4,1068398,8497,759820,150299,75340,81680,0.167540560727369,0.550356702277616,0.121677502204235,0.0280794235855926,0.475478239382702,0.017783634937542,0.15443682972076,0.0280794235855926,0.0608387511021174,0.0112317694342371,0.0131037310066099,0.132909271638472,0.0205915772961013,0.119805540631862,0.432423123218127,0.0907901362600829,0.0870462131153372,0.0187196157237284,0.0748784628949137,0.00374392314474568,0.00280794235855926,0.0767504244672865,0.0336953083027112,1.54436829720759,0.78715984118278,0.7061315758503,0.0663658083355455,0.359283827570376,0.30007106946382,0.146914789422135,0.9415087678004,0.0132731616671091,0.279442976999182,0.0921270827301203,0.0979431929480901,-0.2353771919501,0.0530926466684364,0.0798408505711948,0.2079439867337,0.0489715964740451,2016
"3",3,173,569,122,42,500,11,157,31,71,15,8,145,21,120,510,90,120,18,103,3,2,82,28,1662,928,734,9,37,2,218,20,6,0,19,82,10,3,2,18,136,10,1068398,8497,759820,150299,75340,81680,0.161924676010251,0.532573067340074,0.114189655914743,0.0393111930198297,0.467990393093211,0.0102957886480506,0.146948983431268,0.0290154043717791,0.0664546358192359,0.0140397117927963,0.00748784628949137,0.135717213997031,0.0196555965099148,0.112317694342371,0.477350200955075,0.0842382707567779,0.112317694342371,0.0168476541513556,0.0964060209772014,0.00280794235855926,0.00187196157237284,0.0767504244672865,0.0262074620132198,1.55560006664183,0.868590169580999,1.05919736377545,0.0265463233342182,0.24617595592785,0.286910057645232,0.244857982370225,0.7061315758503,0,0.126414680071058,0.107920296912427,0.122428991185113,0.35306578792515,0.0265463233342182,0.119761275856792,0.178989760732805,0.122428991185113,2016
"4",4,194,635,130,33,571,13,163,45,87,14,11,207,43,129,476,107,102,10,95,5,1,65,32,1797,863,934,4,39,8,254,12,2,2,26,77,5,2,6,13,177,7,1068398,8497,759820,150299,75340,81680,0.181580272520166,0.594347799228377,0.121677502204235,0.0308873659441519,0.534445028912446,0.0121677502204235,0.152564868148387,0.042119135378389,0.0814303283982186,0.0131037310066099,0.0102957886480506,0.193748022740589,0.0402471738060161,0.120741521418048,0.445526854224736,0.100149944121947,0.095470040191015,0.00935980786186421,0.08891817468771,0.00467990393093211,0.000935980786186421,0.0608387511021174,0.0299513851579655,1.681957472777,0.807751418478881,0.4707543839002,0.106185293336873,0.259482764356383,0.334289700192151,0.146914789422135,0.2353771919501,0.0265463233342182,0.172988509570922,0.101339791003132,0.0612144955925563,0.2353771919501,0.0796389700026546,0.086494254785461,0.232949909189018,0.0857002938295788,2016
"5",5,183,607,131,42,494,17,163,25,72,12,14,145,26,115,476,99,98,16,120,0,0,85,37,1714,894,820,9,45,7,236,13,6,1,27,74,5,3,6,18,162,8,1068398,8497,759820,150299,75340,81680,0.171284483872115,0.568140337215158,0.122613482990421,0.0393111930198297,0.462374508376092,0.0159116733651692,0.152564868148387,0.0233995196546605,0.0673906166054223,0.0112317694342371,0.0131037310066099,0.135717213997031,0.024335500440847,0.107637790411438,0.445526854224736,0.0926620978324557,0.0917261170462693,0.0149756925789827,0.112317694342371,0,0,0.0795583668258458,0.0346312890888976,1.60427106752353,0.836766822850661,1.05919736377545,0.0929121316697637,0.29940318964198,0.310599878918691,0.159157688540646,0.7061315758503,0.0132731616671091,0.179641913785188,0.0973914874575557,0.0612144955925563,0.35306578792515,0.0796389700026546,0.119761275856792,0.213208391461136,0.0979431929480901,2016
"6",6,150,658,115,28,555,8,148,30,75,5,11,174,23,121,442,91,122,25,115,3,3,71,34,1712,873,839,8,52,4,217,26,8,0,23,81,15,0,4,29,136,11,1068398,8497,759820,150299,75340,81680,0.140397117927963,0.615875357310665,0.107637790411438,0.0262074620132198,0.519469336333464,0.00748784628949137,0.13852515635559,0.0280794235855926,0.0701985589639816,0.00467990393093211,0.0102957886480506,0.162860656796437,0.0215275580822877,0.113253675128557,0.413703507494398,0.0851742515429643,0.114189655914743,0.0233995196546605,0.107637790411438,0.00280794235855926,0.00280794235855926,0.0664546358192359,0.0318233467303383,1.60239910595115,0.817111226340746,0.9415087678004,0.0530926466684364,0.345977019141844,0.285593956463373,0.318315377081293,0.9415087678004,0,0.153028296928123,0.106604195730568,0.183643486777669,0,0.0530926466684364,0.192948722213721,0.178989760732805,0.134671890303624,2016
"7",7,148,653,148,32,536,7,178,31,84,12,10,155,23,123,499,100,95,15,99,1,0,66,40,1777,875,902,9,55,7,275,18,4,1,23,81,14,5,6,32,194,4,1068398,8497,759820,150299,75340,81680,0.13852515635559,0.611195453379733,0.13852515635559,0.0299513851579655,0.501685701395922,0.00655186550330495,0.166604579941183,0.0290154043717791,0.0786223860396594,0.0112317694342371,0.00935980786186421,0.145077021858895,0.0215275580822877,0.11512563670093,0.467054412307024,0.0935980786186421,0.08891817468771,0.0140397117927963,0.0926620978324557,0.000935980786186421,0,0.0617747318883038,0.0374392314474568,1.66323785705327,0.818983187913119,1.05919736377545,0.0929121316697637,0.365937231784643,0.361927825011187,0.220372184133203,0.4707543839002,0.0132731616671091,0.153028296928123,0.106604195730568,0.171400587659158,0.58844297987525,0.0796389700026546,0.212908934856519,0.255323629280619,0.0489715964740451,2016
"8",8,151,655,124,35,567,15,154,25,77,17,7,153,26,142,468,89,101,15,106,3,5,69,30,1751,856,895,10,39,4,288,29,7,2,23,104,17,3,2,16,184,12,1068398,8497,759820,150299,75340,81680,0.14133309871415,0.613067414952106,0.116061617487116,0.0327593275165247,0.530701105767701,0.0140397117927963,0.144141041072709,0.0233995196546605,0.0720705205363544,0.0159116733651692,0.00655186550330495,0.143205060286522,0.024335500440847,0.132909271638472,0.438039007935245,0.0833022899705915,0.0945340594048285,0.0140397117927963,0.0992139633357606,0.00280794235855926,0.00467990393093211,0.0645826742468631,0.0280794235855926,1.63890235661242,0.801199552975577,1.1768859597505,0.0530926466684364,0.259482764356383,0.379037140375352,0.355044074436827,0.82382017182535,0.0265463233342182,0.153028296928123,0.136874522913322,0.208129285014691,0.35306578792515,0.0265463233342182,0.10645446742826,0.24216261746203,0.146914789422135,2016
"9",9,162,638,124,28,550,10,176,29,87,13,9,172,32,131,478,102,125,19,118,5,2,70,44,1792,920,872,5,49,3,270,28,3,1,16,120,19,2,2,33,150,9,1068398,8497,759820,150299,75340,81680,0.1516288873622,0.597155741586937,0.116061617487116,0.0262074620132198,0.514789432402532,0.00935980786186421,0.16473261836881,0.0271434427994062,0.0814303283982186,0.0121677502204235,0.00842382707567779,0.160988695224064,0.0299513851579655,0.122613482990421,0.447398815797109,0.095470040191015,0.116997598273303,0.017783634937542,0.110445732769998,0.00467990393093211,0.00187196157237284,0.0655186550330495,0.0411831545922025,1.67727756884607,0.861102323291507,0.58844297987525,0.0398194850013273,0.326016806499045,0.355347319101893,0.342801175318315,0.35306578792515,0.0132731616671091,0.10645446742826,0.157932141823063,0.232615083251714,0.2353771919501,0.0265463233342182,0.219562339070786,0.197415177278829,0.110186092066601,2016
"10",10,167,652,144,41,567,11,158,32,85,10,8,170,23,127,482,101,110,16,105,1,0,101,36,1787,916,871,7,44,4,270,16,5,3,26,86,9,2,1,18,184,7,1068398,8497,759820,150299,75340,81680,0.156308791293132,0.610259472593547,0.134781233210845,0.0383752122336433,0.530701105767701,0.0102957886480506,0.147884964217455,0.0299513851579655,0.0795583668258458,0.00935980786186421,0.00748784628949137,0.159116733651692,0.0215275580822877,0.118869559845675,0.451142738941855,0.0945340594048285,0.102957886480506,0.0149756925789827,0.0982779825495742,0.000935980786186421,0,0.0945340594048285,0.0336953083027112,1.67259766491513,0.857358400146762,0.82382017182535,0.0530926466684364,0.292749785427714,0.355347319101893,0.19588638589618,0.58844297987525,0.0398194850013273,0.172988509570922,0.113184701639862,0.110186092066601,0.2353771919501,0.0132731616671091,0.119761275856792,0.24216261746203,0.0857002938295788,2016
