assault_incid_c,unintent_incid_c,suicide_incid_c,undeter_incid_c,legal_incid_c,combined_incid_c,zipcode,year,weekofyr,assault_tot,unintent_tot,suicide_tot,undeter_tot,legal_tot,combined_tot,assault_incid,unintent_incid,suicide_incid,undeter_incid,legal_incid,combined_incid,_chk,zippop_tag
0,0,0,0,0,0,55401,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55401,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55401,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55401,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55401,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55402,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55402,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55402,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55402,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55402,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55403,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55403,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55403,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55403,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55403,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55404,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,3.575003575,0,0,0,3.575003575,55404,2017,1,0,1,0,0,0,1,0,0.00003575,0,0,0,0.00003575,,0
0,0,0,0,0,0,55404,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55404,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55404,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55405,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55405,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55405,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55405,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55405,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55406,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55406,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
2.9890004782,0,0,0,0,2.9890004782,55406,2018,1,1,0,0,0,0,1,0.00002989,0,0,0,0,0.00002989,,0
0,0,0,0,0,0,55406,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
2.9794714418,0,0,0,0,2.9794714418,55406,2020,1,1,0,0,0,0,1,0.0000297947,0,0,0,0,0.0000297947,,0
0,0,0,0,0,0,55407,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55407,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55407,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,2.4402147389,0,0,0,2.4402147389,55407,2019,1,0,1,0,0,0,1,0,0.0000244021,0,0,0,0.0000244021,,0
2.4402147389,0,0,0,0,2.4402147389,55407,2020,1,1,0,0,0,0,1,0.0000244021,0,0,0,0,0.0000244021,,0
0,0,0,0,0,0,55408,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55408,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55408,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55408,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55408,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55409,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55409,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55409,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55409,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55409,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55410,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55410,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55410,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55410,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55410,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
3.2570107156,0,0,0,0,3.2570107156,55411,2016,1,1,0,0,0,0,1,0.0000325701,0,0,0,0,0.0000325701,,0
3.2344664748,3.2344664748,0,0,0,6.4689329495,55411,2017,1,1,1,0,0,0,2,0.0000323447,0.0000323447,0,0,0,0.0000646893,,0
3.1397174254,0,0,3.1397174254,0,6.2794348509,55411,2018,1,1,0,0,1,0,2,0.0000313972,0,0,0.0000313972,0,0.0000627943,,0
0,0,0,0,0,0,55411,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
3.2068755412,3.2068755412,0,0,0,6.4137510823,55411,2020,1,1,1,0,0,0,2,0.0000320688,0.0000320688,0,0,0,0.0000641375,,0
4.5038958699,4.5038958699,0,0,0,9.0077917399,55412,2016,1,1,1,0,0,0,2,0.000045039,0.000045039,0,0,0,0.0000900779,,0
0,0,0,0,0,0,55412,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55412,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
4.2317295078,0,0,0,0,4.2317295078,55412,2019,1,1,0,0,0,0,1,0.0000423173,0,0,0,0,0.0000423173,,0
0,0,0,0,0,0,55412,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55413,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
7.1694866648,0,0,0,0,7.1694866648,55413,2017,1,1,0,0,0,0,1,0.0000716949,0,0,0,0,0.0000716949,,0
0,0,0,0,0,0,55413,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55413,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55413,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55414,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55414,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55414,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55414,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55414,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55415,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55415,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55415,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55415,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55415,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55416,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55416,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55416,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55416,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55416,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55417,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55417,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55417,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
3.760388072,0,0,0,0,3.760388072,55417,2019,1,1,0,0,0,0,1,0.0000376039,0,0,0,0,0.0000376039,,0
0,3.760388072,0,0,0,3.760388072,55417,2020,1,0,1,0,0,0,1,0,0.0000376039,0,0,0,0.0000376039,,0
0,0,0,0,0,0,55418,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55418,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55418,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55418,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55418,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55419,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55419,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55419,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55419,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55419,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55420,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55420,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55420,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55420,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55420,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55421,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55421,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55421,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55421,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55421,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
6.923050296,0,0,0,0,6.923050296,55422,2016,1,2,0,0,0,0,2,0.0000692305,0,0,0,0,0.0000692305,,0
0,3.4318267614,0,0,0,3.4318267614,55422,2017,1,0,1,0,0,0,1,0,0.0000343183,0,0,0,0.0000343183,,0
0,0,0,0,0,0,55422,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
3.3515433857,0,0,0,0,3.3515433857,55422,2019,1,1,0,0,0,0,1,0.0000335154,0,0,0,0,0.0000335154,,0
0,0,0,0,0,0,55422,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55423,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55423,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55423,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55423,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55423,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55424,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55424,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55424,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55424,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
