"","week.counter","week","week.first","month","season","year","dark.before.12","tmax.f","tmin.f","precip.in","snow.in","school","total","homicide","shooting","rape","robbery.carjacking","robbery.street","robbery.commercial","robbery.residence","aggravated.assault","assault.by.threat","common.assault","burglary","larceny.from.auto","larceny","auto.theft","arson","northwestern","northern","northeastern","western","central","eastern","southwestern","southern","southeastern","homicide.northwestern","homicide.northern","homicide.northeastern","homicide.western","homicide.central","homicide.eastern","homicide.southwestern","homicide.southern","homicide.southeastern","shooting.northwestern","shooting.northern","shooting.northeastern","shooting.western","shooting.central","shooting.eastern","shooting.southwestern","shooting.southern","shooting.southeastern"
"1",10,9,2010-03-01,3,2,10,5.98285714285714,47.93,35.1371428571429,0.0187457442857143,0,0.714285714285714,862,4,5,3,2,56,5,6,91,18,139,152,113,191,75,2,83,125,163,68,89,76,64,98,96,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0
"2",11,10,2010-03-08,3,2,10,5.72428571428571,57.8685714285714,44.0728571428571,0.378137601428571,0,0.714285714285714,852,1,7,4,4,57,10,6,93,13,166,155,103,162,65,6,82,116,150,72,98,70,59,105,99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4
"3",12,11,2010-03-15,3,2,10,4.73285714285714,67.3442857142857,46.8114285714286,0.0151855714285714,0,0.714285714285714,974,6,15,2,5,41,10,10,132,20,232,156,106,179,52,8,112,128,145,97,128,78,85,106,94,1,1,2,1,0,1,0,0,0,2,0,4,2,0,0,0,2,5
"4",13,12,2010-03-22,3,2,10,4.61857142857143,60.35,43.9314285714286,0.166197642857143,0,0.714285714285714,896,4,3,2,0,41,3,8,97,19,168,150,125,183,87,6,94,112,131,78,92,64,73,148,103,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0,0,1,0
"5",14,13,2010-03-29,3,2,10,4.51714285714286,67.5628571428571,50.7457142857143,0.120640928571429,0,0,1020,1,6,2,3,42,12,15,148,13,179,161,136,197,96,9,100,116,150,71,123,81,83,185,111,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,0,1,0
"6",15,14,2010-04-05,4,2,10,4.4,81.7828571428571,54.86,0.0931719171428571,0,0.571428571428571,1038,6,12,3,4,61,9,8,150,9,201,158,120,207,77,13,109,105,147,81,121,76,105,144,149,1,3,1,0,0,1,0,0,0,2,0,4,1,0,0,3,1,1
"7",16,15,2010-04-12,4,2,10,4.28285714285714,67.9871428571429,47.0042857142857,0.0183689171428571,0,0.714285714285714,924,5,8,5,2,49,8,10,107,17,186,151,123,182,63,8,87,91,160,61,121,59,70,121,154,2,0,0,0,0,3,0,0,0,3,0,0,1,0,3,0,1,0
"8",17,16,2010-04-19,4,2,10,4.16714285714286,66.92,48.5342857142857,0.164229142857143,0,0.714285714285714,995,1,4,3,2,53,18,9,113,16,182,162,140,211,72,9,78,101,183,113,138,82,80,104,116,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0
"9",18,17,2010-04-26,4,2,10,4.05,71.9471428571429,51.1314285714286,0.177631815714286,0,0.714285714285714,1019,4,11,3,4,46,6,16,120,18,201,154,146,214,71,5,88,111,172,83,150,73,89,139,114,1,1,0,1,0,0,0,1,0,2,0,4,4,0,0,0,1,0
"10",19,18,2010-05-03,5,2,10,3.93285714285714,78.4142857142857,59.1414285714286,0.0376827142857143,0,0.714285714285714,1074,8,14,6,5,36,3,15,134,18,199,172,148,203,98,15,102,123,148,100,149,66,93,159,134,0,0,3,2,0,1,1,1,0,2,2,4,1,0,1,4,0,0
